Model,Height,Width,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3,Best FPS,Avg FPS
resnet18_mono,256,832,0.11492598337927029,0.904717343919503,4.805621728835523,0.19156687732363706,0.87997955401592,0.9605716307895967,0.9813049116960787,243.2608746085141,7.314558037617968
resnet50_ys,256,832,0.11073496623480508,0.9140344396810791,4.772363134316427,0.18834929797301334,0.888055372001192,0.9624217030638998,0.981467713012168,141.42234810169262,5.3025098557648525
mobilenetv2_mj,256,832,0.4549573844504493,5.024688729789199,12.32400915492727,0.6155531641571559,0.2925311945924983,0.547713772948508,0.7481640215993526,122.7086393025365,5.4023337971651655
resnet18_ys,256,832,0.11735247869252988,0.9474265963223949,4.843135368191187,0.19351179120124157,0.8791277737438458,0.960218946726698,0.9811006247623356,226.75590636319404,7.425968546628165
mobilenetv2_ys,256,832,0.14608118503516168,1.2483851453730332,5.507874344992672,0.22411453534703343,0.8240271144715129,0.938837951802505,0.9734801939354708,145.72157176110898,5.285289131555685
resnet18_mj,256,832,0.441490628979726,4.787599256574851,12.147175188813696,0.5934637069402843,0.3025239965128128,0.561278862517904,0.7618804535060992,175.71445328864684,6.023980917062633
resnet18_ours_skipSky,256,832,0.11455688915794002,0.8966850646192921,4.797995061409183,0.1909697314716309,0.882313469886135,0.9603982264288974,0.9809684141667794,302.7941091539128,8.515188366605091
resnet18_ours_skyLoss,256,832,0.11570207958498507,0.9282064042140968,4.858574586499541,0.19225752778575786,0.8791091210892984,0.9602730976936327,0.981368531265539,309.382901821937,8.232930948802542
resnet18_ours_skipSky_skyLoss,256,832,0.11304944152897023,0.8813575073392524,4.777836765586218,0.19138233611624758,0.8829431545985449,0.960868337850492,0.9811621679951802,301.18512135573746,8.28361814582656
resnet18_ours,256,832,0.11313177473105522,0.8760643732577691,4.769976980631458,0.19024582581869842,0.8814541521524788,0.9615884539792655,0.9817867185305198,298.9951525520388,8.438702701112557
resnet18_ours_bn,256,832,0.11369579741290345,0.8887850043699252,4.793169185284049,0.1897964638736703,0.8785953519085075,0.9601847028319208,0.9816066843369231,275.07240293809025,7.921921419400608
resnet18_ours_oneLayer,256,832,0.11483563408469367,0.9076126590157342,4.822398140406506,0.19207572416433133,0.8792049195022115,0.9602852778510635,0.9813540224462269,322.2916858767481,9.194243818867175
resnet18_ours_dw,256,832,0.1154360471712893,0.8704062725285033,4.853217038738848,0.19089569605705214,0.8727716528835405,0.9587195723061306,0.9817404691475392,263.8424860036485,8.016954477106726
resnet18_ours_pw,256,832,0.11451871901045058,0.9440987662036757,4.925105415765661,0.19206113123483262,0.8800264487879416,0.9601908238156727,0.9812457479674297,302.88157134604273,8.388219041773109
resnet18_ours_skipAdd,256,832,0.11631743175377121,0.9773808166790898,4.9232974693799125,0.1935338098582527,0.8793161657020914,0.9596641208225961,0.9807027479776633,294.2751701396197,8.374777611091213
resnet18_ours_oneLayer_pw,256,832,0.11676203757203805,0.9719090792677837,4.942110947420129,0.19408754839787695,0.8785806459813738,0.9596129500019513,0.9803515721497339,317.2216003630313,8.945524686748563
resnet18_ours_oneLayer_dw_pw,256,832,0.11577001649624477,0.8981748025549022,4.860404141920711,0.1911006382208216,0.8758419433986716,0.959568447788439,0.9816085388054442,298.86732221747184,8.376593484414089
resnet18_ours_bn_dw,256,832,0.11876464279173436,0.9333009139836433,4.93754791443796,0.1938294850856365,0.8709935342900709,0.9585332403977658,0.9814272269235966,224.37832343658053,7.050713562879341
